page,claim_source_url,count
https://www.factcheck.org/2018/04/prosecutor-in-cohen-probe-not-an-obama-holdover/,https://www.nytimes.com/2018/04/10/us/politics/trump-russia-mueller-rosenstein.html?smid=tw-share,0
https://www.factcheck.org/2018/04/jennifer-aniston-not-a-trump-supporter/,https://www.vogue.com/article/jennifer-aniston-justin-theroux-aveeno-beauty-wellness-friends-hair-reese-witherspoon,0
https://www.factcheck.org/2017/12/train-crash-claims-off-rails/,http://www.sltrib.com/news/nation-world/2017/12/18/amtrak-train-derails-south-of-seattle/,0
https://www.factcheck.org/2018/05/clinton-wasnt-named-ny-attorney-general/,https://web.archive.org/web/20180509204826/https://dailyworldupdate.us/2018/05/09/new-york-governor-appoints-new-permanent-attorney-general-and-she-already-lost-to-trump/,0
https://www.factcheck.org/2018/03/pelosi-isnt-calling-for-trumps-impeachment/,http://thehill.com/homenews/house/356335-pelosi-trump-needs-an-intervention,0
https://www.factcheck.org/2017/08/charlottesville-driver-clinton-supporter/,https://www.adl.org/education/resources/backgrounders/vanguard-america,0
https://www.factcheck.org/2018/05/false-headline-in-philly-starbucks-settlement/,https://news.starbucks.com/press-releases/starbucks-reaches-agreement-with-donte-robinson-and-rashon-nelson,0
https://www.factcheck.org/2018/03/no-russian-arrest-warrant-george-soros/,https://web.archive.org/web/20180313211618/https://viralpoliticsus.com/new-news/,0
https://www.factcheck.org/2018/01/parton-dolly-didnt-praise-trump/,http://insider.foxnews.com/2017/10/16/dolly-parton-emmys-trump-bashing-fonda-tomlin-i-dont-do-politics,0
https://www.factcheck.org/2018/02/no-black-lives-matter-embezzlement-scandal/,https://web.archive.org/web/20180209202101/http://reaganwasright.com/2017/11/14/breaking-black-lives-matter-leader-kept-virtually-all-donations/,0
http://www.emergent.info/apple-tv-hbo-now,http://www.ibtimes.com/hbo-talks-apple-be-launch-partner-coming-web-service-hbo-now-exclusive-1835882,0
http://www.emergent.info/there-can-only-be-one-kim-jong-un,http://www.theguardian.com/world/2014/dec/03/kim-jong-un-north-korea-name-ban,0
http://www.emergent.info/magic-mushrooms-buckingham-palace,http://www.thesun.co.uk/sol/homepage/news/6176017/EXCLUSIVE-TV-gardener-Alan-Titchmarsh-finds-magic-mushrooms-at-Buckingham-palace.html,0
http://www.emergent.info/Apple-ship-20-million-Watches,http://www.ccsinsight.com/press/company-news/2137-wearables-market-2015-is-year-that-will-make-or-break-the-smartwatch,1
http://www.emergent.info/vogue-offices-rats,http://gawker.com/vogue-s-shiny-new-office-has-a-big-rat-problem-1661685600?utm_campaign=socialflow_gawker_twitter&utm_source=gawker_twitter&utm_medium=socialflow,1
